日期,水解液位,水解温度,水解温度_change,水解pH,水解pH_change,水解TS,水解VS,水解VS/TS,水解总流量,水解总流量_change,发酵液位,发酵液位_change,发酵温度,发酵温度_change,进料量,发酵TS,发酵VS,发酵OLR,发酵OLR_change,发酵VFA,发酵VFA_change,发酵碱度,发酵碱度_change,发酵酸碱比,发酵pH,发酵pH_change,发酵总流量,发酵总流量_change,螺杆泵出料口压力,螺杆泵出料口压力_change,压力,压力_change,产气量,产气量_change,产气量_提升,单位VS产甲烷量_change
2019.11.28,9.301991,41.1169,58.03725418604652,4.9,3.734181818181821,0.064368898,0.870374474,0.073955407,706.5691,26422.19462857144,16.16492,16.31153694444438,36.54514,37.15709492537323,39.54545455,0.016393626,0.576791809,0.553883976,3.127338259154507,1560.0,6495.31288343558,3960.0,12244.173913043467,0.393939394,7.186343,7.16415188495575,456.8223,12951.11904742616,0.153646,0.1540056,1.212384,1.5151032253521106,2993.64,12416.011,9422.3707421875,3056.763601067188
2019.11.29,9.295625,40.68287,57.87407319767442,4.9,4.064727272727277,0.0612,0.882624059,0.069338695,742.0702,27244.15526190477,16.15797,16.223190879629573,36.89236,37.36309686567176,40.90909091,0.015409188,0.457719585,0.552442422,1.0193889376781118,1560.0,6495.31288343558,4320.0,10619.826086956513,0.361111111,7.194445,7.391290716814149,492.339,1528.3538250632912,0.154803,0.1870067999999999,1.223958,1.6722091056338004,3396.432,11059.0,7662.568,2729.77851339943
2019.11.30,9.231967,40.48032,49.225480813953496,4.75,3.9545454545454586,0.050766541,0.874172185,0.058073846,777.6694,4933.795214285715,16.0159,15.922814259259228,36.77662,38.00399179104499,40.90909091,0.01642514,0.451843044,0.45387305,1.4745143593605154,1800.0,2685.938650306748,4440.0,11269.565217391291,0.405405405,7.109375,7.242230858407074,537.3506,2701.502685738397,0.153356,0.0,1.255787,1.6512616549295749,3505.6008,11158.985,7653.3845515625,3352.6551660727882
2019.12.01,9.120567,40.56713,58.03725418604652,5.01,3.734181818181821,0.057274219,0.884048027,0.06478632,812.2557,26422.19462857144,16.11949,16.31153694444438,36.67535,37.15709492537323,40.90909091,0.017601816,0.480713874,0.517839137,3.127338259154507,1824.0,6495.31288343558,4520.0,12244.173913043467,0.403539823,7.117477,7.16415188495575,582.3816,12951.11904742616,0.153935,0.1540056,1.261574,1.5151032253521106,3551.9328,11632.887,8080.9539187499995,3063.311776561066
2019.12.02,9.120567,40.91435,57.87407319767442,5.21,4.064727272727277,0.050695621,0.845433255,0.059964073,852.2125,27244.15526190477,16.13078,16.223190879629573,36.5596,37.36309686567176,40.90909091,0.01734611,0.480024969,0.438338496,1.0193889376781118,1608.0,6495.31288343558,4920.0,10619.826086956513,0.326829268,7.255208,7.391290716814149,627.6974,1528.3538250632912,0.154514,0.1870067999999999,1.206597,1.6722091056338004,3511.326,11122.095,7610.7687265625,3459.9956448419657
2019.12.03,8.776817,41.00116,45.14595610465117,5.24,3.9545454545454586,0.06234644,0.821495327,0.075893847,873.6116,16441.244080952383,16.21151,16.00055879629626,36.67535,37.31731865671653,42.27272727,0.016739889,0.45021645,0.541273838,1.9296397810429191,1344.0,6365.447852760733,4520.0,10132.521739130423,0.297345133,7.267361,7.519056309734499,660.765,8628.991665991562,0.154514,0.1980071999999999,1.15162,1.6931565563380255,3524.3364,8003.0396,4478.70315078125,2016.213429649693
2019.12.04,8.754537,41.26157,49.225480813953496,5.21,3.9545454545454586,0.055422558,0.85601843,0.064744586,909.3524,4933.795214285715,15.97742,15.922814259259228,36.5162,38.00399179104499,43.63636364,0.015279275,0.414107884,0.51755707,1.4745143593605154,1944.0,2685.938650306748,5280.0,11269.565217391291,0.368181818,7.267361,7.242230858407074,692.3285,2701.502685738397,0.152488,0.0,1.177662,1.6512616549295749,3608.28,11576.139,7967.858671874999,3050.029584613446
2019.12.05,9.025081,42.07176,58.03725418604652,5.21,3.734181818181821,0.057827763,0.85827521,0.067376714,963.3113,26422.19462857144,16.13598,16.31153694444438,36.77662,37.15709492537323,43.63636364,0.017431202,0.490229885,0.541441477,3.127338259154507,1920.0,6495.31288343558,5240.0,12244.173913043467,0.366412214,7.295718,7.16415188495575,732.3571,12951.11904742616,0.153356,0.1540056,1.154514,1.5151032253521106,3759.6,11472.341,7712.7408203125,2889.342942669433
2019.12.06,8.471262,41.98495,57.87407319767442,5.21,4.064727272727277,0.047229543,0.873209322,0.05408731,973.9712,27244.15526190477,16.21295,16.223190879629573,36.8779,37.36309686567176,46.36363636,0.015611995,0.541507997,0.4780239,1.0193889376781118,2232.0,6495.31288343558,5640.0,10619.826086956513,0.395744681,7.311921,7.391290716814149,772.2707,1528.3538250632912,0.154803,0.1870067999999999,0.847801,1.6722091056338004,2843.88,11449.812,8605.931523437499,3266.234075851699
2019.12.17,6.69522,40.91435,58.03725418604652,5.21,3.734181818181821,0.0747,0.8778,0.085099111,1239.571,26422.19462857144,15.89611,16.31153694444438,37.03704,37.15709492537323,46.36363636,0.0182,0.5343,0.76003515,3.127338259154507,2040.0,6495.31288343558,6580.0,12244.173913043467,0.310030395,7.30787,7.16415188495575,1162.12,12951.11904742616,0.152199,0.1540056,1.238426,1.5151032253521106,4257.24,12825.224,8567.9836328125,2301.0700648309844
